access control;pääsynvalvonta
integrity;koskemattomuus (tietoturva)
internal fragmentation;sisäinen pirstoutuminen (varatun alueen sisällä)
interrupt, fault;keskeytys, poikkeus
interrupt-driven I/O; tarkista tämä.. epäsuora I/O, keskeyttävä I/O
interrupt handler;keskeytyskäsittelijä
intrusion;tunkeutuminen
instruction set architecture, ISA;käskykanta-arkkitehtuuri
intruder;hyökkääjä (tietoturva)
inverted page table;käänteinen sivutaulu
I/O bound;I/O sidonnainen (prosessi)
I/O supervisor;I/O:n hallintajärjestelmä
jacketing;kuori, päällys, päällystakki
journaling file system;journaloiva tiedostojärjestelmä
kernel mode, privileged mode, system mode;etuoikeutettu tila, ytimen tila
kernel thread;KJ-tason säie, ytimen säie (KJ skeduloi)
keylogger;näppäimistön kaappari
literal;literaali, vakio
livelock;elolukko
load control;moniajoasteen säätely
load sharing;kuorman tasaus
locality;paikallisuus
logic bomb;logiikkapommi (tietoturva)
mailbox;postilaatikko
malicious software;pahantahtoinen ohjelma/koodi
malware;haittaohjelma
mapping function;kuvausfunktio
masquerader;luvaton käyttäjä
memory hierarchy;muistihierarkia
microkernel architecture;mikroydin arkkitehtuuri
middleware;väliohjelmisto
migrate;muuttaa
misfeasor;luvattomasti käyttäminen
missapropriation;(vallan) anastus
mobile code;siirrettävä koodi
monitor;monitori
multicore;moniytiminen
multithreaded, multithreading;monisäikeinen, monisäikeisyys
mutual exclusion;poissulkeva, yhdellä käyttäjällä
mutual exclusion problem;poissulkemisongelma
nondeterministic;epädeterministinen
nonpreemptive;ei keskeyttävä
object request broker (ORB);palvelupyynnön välittäjä
overlay;kerrostus
paging;sivutus
parallelized application;rinnakkaistettu sovellus
parallelizing compiler;rinnakkaistava kääntäjä
parameter marshalling;parametrien esitystavan muunnos
parametric computing;parametrisoitu laskenta
partitioning;ositus, partitiointi
pile (file system organ.);läjä, erikokoiset peräkkäistietueet
placement (policy);sijoitus (politiikka)
postprotocol;jälkiprotokolla
preemptive;keskeyttävä
predictability;ennustettavuus
preprotocol;esiprotokolla
priority ceiling;kattoprioriteetti
priority inheritance;prioriteetin periminen
priority inversion;prioriteetin kääntyminen
privileged mode, kernel mode, system mode;etuoikeutettu tila, ytimen tila
processor bound;suoritin sidonnainen (prosessi)
processor context, processor state information;suoritinympäristö, suorittimen tilatieto
process control block (PCB);prosessin kuvaaja, kontrollilohko
process identification (pid);prosessin tunniste
process switch, scheduling;prosessin vaihto, skedulointi, vuoronanto
programmed I/O;suora I/O
protection;suojaus
qualitative;laadullinen
quanta, time slice;aikaviipale
quantitative;määrällinen
race condition;kilpailutilanne
RAM, random access memory;keskusmuisto
real time;realiaika
record;tietue
reentrant;vapaakäyntinen
relocation;uudelleensijoitus
rendezvous;kohtaaminen, rendezvous
replacement algorithm, policy;poistoalgoritmi, -politiikka
repudiate;kiistää
resident set, resident set size;käyttöjoukko, käyttöjoukon koko
response time;vasteaika
responsiveness;herkästi reagoiva
rootkit;admin-oikeuksien hankintatyökalu
round robin;vuorotellen
round robin scheduling;aikaviipalevuoronanto
scenario;skenaario
scheduler, dispatcher;vuoronantaja, skeduloija
scheduling, process switch;prosessin vaihto, skedulointi, vuoronanto
security policy;suojauspolitiikka
security administrator;suojausyksikkö
segment;segmentti
semaphore;semafori
sequential (file system organ.);sarjallinen
service broker;palvelun välittäjä
service-oriented architecture (SOA);palveluperustainen arkkitehtuuri
sharing;yhteiskäyttö (EI jakaminen)
signalling semantics;signalointisemantiikka
SOA model;palveluperustaisen arkkitehtuurin malli
soft link;symbolinen linkki
spammer;massapostittaja (tietoturva)
spatial locality;alueellinen paikallisuus
spinlock, busy wait;loopissa odotus (aktiivisena)
spyware;vakoiluohjelma
stealth;näkymätön, näkömättömyys
starvation;nääntyminen, nälkiintyminen
supervisor call;käyttöjärjestelmän palvelupyyntö
synchronization;synkronointi
symmetric multiprocessor, SMP;symmetrinen moniprosessorikone
system mode, privileged mode, kernel mode;etuoikeutettu tila, ytimen tila
thread;säie
thread context;säikeen suoritusympäristö
throughput;läpimenovuo, läpimenotiheys
time sharing;osituskäyttö
time slice, quanta;aikaviipale
time slice interrupt;aikaviipalekeskeytys
temporal locality;ajallinen paikallisuus
token;kolikko, lupalappu
transaction processing/system;tapahtumankäsittely
translation lookaside buffer (TLB);TLB, osoitteenmuunnospuskuri
trap;trappi, keskeytys, poikkeus
trap door;takaovi, salaovi (tietoturva)
trojan horse;troijalainen (tietoturva)
turnaround time;vastausaika
user mode, user state;käyttäjätila
user-level thread;käyttäjätason säie (ei näy KJ:lle)
usurpation;tunkeutuminen
utilization;käyttösuhde, utilisaatio
virtual memory;virtuaalimuisti
virus;virus
volume;taltio, volyymi
worm;mato (tietoturva)
write policy;kirjoituspolitiikka
write back;lopuksikirjoittava (välimuisti)
write through;läpikirjoittava (välimusti)
zero-day vulnerability;nollapäivän aukko, tietoturva-aukko joka tulee julki vasta hyökkäyspäivänä
zombie;piilo-ohjelma
  	 
